 Box  ;  Num  ;  Dat. Ent  ;   ;  Naiss  ;   ;  Stér  ;  Race  ;  Couleur  ;  Nom  ;  Identification  ;  2nd V 
R608  ;  084967  ;  08/11/2019  ;   ;  09/2018 (1 a)  ;  M  ;  X  ;  X BERGER  ;  NOIR  ;  DARK  ;  743057283  ;  04/10/2019  
R609  ;  083155  ;  26/12/2018  ;   ;  05/2017 (2 a)  ;  F  ;  X  ;  X JACK  ;  BLANC & MARRON & NOIR  ;  LILI  ;  732192345  ;  18/06/2019  
R610  ;  081456  ;  13/03/2018  ;   ;  07/2014 (5 a)  ;  M  ;  X  ;  BERGER BELGE MALINOI  ;  FAUVE & CHARBONNEE  ;  PANACHE  ;  732192089  ;  05/04/2019  
R611  ;  083837  ;  01/06/2019  ;   ;  11/2016 (3 a)  ;  M  ;  X  ;  X GRIFFON BERGER  ;  NOIR ET BLANC  ;  SPIKE  ;  743105720  ;  10/12/2019  
R612  ;  084784  ;  12/10/2019  ;   ;  11/2014 (5 a)  ;  M  ;  X  ;  X RATIER  ;  NOIR  ;  CHAMALLOW  ;  712252412  ;  06/09/2019  
R613  ;  084116  ;  12/07/2019  ;   ;  11/2012 (7 a)  ;  F  ;  X  ;  X GRIFFON  ;  NOIR  ;  KALY  ;  743141300  ;  20/12/2019  
R614  ;  081532  ;  29/03/2018  ;   ;  08/2012 (7 a)  ;  M  ;  X  ;  BERGER ALLEMAND  ;  NOIR ET FEU  ;  HERCULE  ;  500561547  ;  05/04/2019  
R701  ;  083845  ;  03/06/2019  ;   ;  05/2017 (2 a)  ;  M  ;  X  ;  TERRIER DE CHASSE AL  ;  NOIR ET FEU  ;  PILOU  ;  600112272  ;  30/08/2019  
R701  ;  085407  ;  31/01/2020  ;   ;  11/2018 (1 a)  ;  F  ;  X  ;  X GRIFFON  ;  NOIR ET BLANC  ;  ANETH DIT ETOILE  ;  743141181  ;  03/12/2019  
R702  ;  083329  ;  01/02/2019  ;  AB  ;  01/2015 (5 a)  ;  M  ;  X  ;  XLABRADOR  ;  BLANC & BEIGE & TRUITE  ;  LYLO  ;  810673865  ;  08/03/2019  
R703  ;  082644  ;  06/10/2018  ;   ;  02/2015 (5 a)  ;  M  ;  X  ;  X GRIFFON  ;  BLANC ET NOIR  ;  LENNY  ;  732137799  ;  08/03/2019  
R704  ;  083319  ;  30/01/2019  ;   ;  12/2015 (4 a)  ;  M  ;  X  ;  MALINOIS  ;  CHARBONNEE & NOIR  ;  KIPPER  ;  731701634  ;  09/08/2019  
R705  ;  085215  ;  26/12/2019  ;   ;  10/2017 (2 a)  ;  M  ;  X  ;  SHARPEI  ;  CHOCOLAT  ;  COLT  ;  732234302  ;  09/08/2019  
R706  ;  081511  ;  22/03/2018  ;   ;  10/2008 (11 a)  ;  M  ;  X  ;  X BERGER  ;  NOIR ET FEU  ;  CARAMEL  ;  400009792  ;  09/08/2019  
R707  ;  084683  ;  30/09/2019  ;   ;  08/2013 (6 a)  ;  F  ;  X  ;  X BERGER  ;  BRINGE  ;  CHAINA  ;  500770405  ;  24/01/2020  
R708  ;  085115  ;  07/12/2019  ;  AB  ;  06/2009 (10 a)  ;  M  ;  X  ;  TY LABRADOR BERGER  ;  MARRON & BLANC  ;  STRYKE  ;  602842530  ;  25/07/2019  
R709  ;  083887  ;  09/06/2019  ;  AB  ;  07/2017 (2 a)  ;  F  ;  X  ;  X LABARDOR BULL TERR  ;  NOIR & BLANC  ;  ETOILE  ;  732301158  ;  30/08/2019  
R710  ;  085314  ;  11/01/2020  ;   ;  12/2009 (10 a)  ;  M  ;  X  ;  BERGER BELGE MALINOI  ;  FAUVE  ;  E PITT VON DER GLUCKEN  ;  602824117  ;   
R711  ;  085179  ;  18/12/2019  ;   ;  10/2012 (7 a)  ;  F  ;  X  ;  X BERGER  ;  TRICOLORE  ;  LUNA  ;  606594777  ;  03/01/2020  
R712  ;  085223  ;  28/12/2019  ;   ;  01/2014 (6 a)  ;  M  ;  X  ;  MALINOIS  ;  CHARBONNEE  ;  ELTON  ;  743186025  ;   
R713  ;  084191  ;  23/07/2019  ;   ;  02/2013 (7 a)  ;  F  ;  X  ;  ROTWEILLER  ;  NOIR ET FEU  ;  ISIS  ;  604884959  ;  09/08/2019  
R714  ;  085235  ;  29/12/2019  ;   ;  09/2018 (1 a)  ;  M  ;  X  ;  X BERGER  ;  NOIR ET BLANC  ;  TYSON  ;  608298259  ;  24/09/2019
